[rosmaster.main][INFO] 2017-08-17 07:20:28,394: initialization complete, waiting for shutdown
[rosmaster.main][INFO] 2017-08-17 07:20:28,394: Starting ROS Master Node
[xmlrpc][INFO] 2017-08-17 07:20:28,399: XML-RPC server binding to 0.0.0.0:11311
[xmlrpc][INFO] 2017-08-17 07:20:28,401: Started XML-RPC server [http://erle-brain-3:11311/]
[rosmaster.master][INFO] 2017-08-17 07:20:28,402: Master initialized: port[11311], uri[http://erle-brain-3:11311/]
[xmlrpc][INFO] 2017-08-17 07:20:28,402: xml rpc node: starting XML-RPC server
[rosmaster.master][INFO] 2017-08-17 07:20:28,411: +PARAM [/gcs_bridge_serial/gcs_url] by /gcs_bridge_serial
[rosmaster.master][INFO] 2017-08-17 07:20:28,437: +PARAM [/run_id] by /roslaunch
[rosmaster.master][INFO] 2017-08-17 07:20:28,444: +PARAM [/roslaunch/uris/host_erle_brain_3__34206] by /roslaunch
[rosmaster.master][INFO] 2017-08-17 07:20:28,451: +PARAM [/raspicam_node/framerate] by /raspicam_node
[rosmaster.master][INFO] 2017-08-17 07:20:28,455: +PARAM [/mavros/fcu_url] by /mavros
[rosmaster.master][INFO] 2017-08-17 07:20:28,459: +PARAM [/gcs_bridge_serial2/gcs_url] by /gcs_bridge_serial2
[rosmaster.master][INFO] 2017-08-17 07:20:28,470: +PARAM [/raspicam_node/quality] by /raspicam_node
[rosmaster.master][INFO] 2017-08-17 07:20:28,474: +PARAM [/mavros/gcs_url] by /mavros
[rosmaster.master][INFO] 2017-08-17 07:20:28,736: +PUB [/rosout] /gcs_bridge_serial2 http://erle-brain-3:37643/
[rosmaster.master][INFO] 2017-08-17 07:20:28,740: +PUB [/rosout] /gcs_bridge_serial http://erle-brain-3:40076/
[rosmaster.master][INFO] 2017-08-17 07:20:28,744: +PUB [/rosout] /mavros http://erle-brain-3:34806/
[rosmaster.master][INFO] 2017-08-17 07:20:28,749: +PUB [/rosout] /raspicam_node http://erle-brain-3:33251/
[rosmaster.master][INFO] 2017-08-17 07:20:28,754: +SERVICE [/gcs_bridge_serial2/get_loggers] /gcs_bridge_serial2 http://erle-brain-3:37643/
[rosmaster.master][INFO] 2017-08-17 07:20:28,759: +SERVICE [/gcs_bridge_serial/get_loggers] /gcs_bridge_serial http://erle-brain-3:40076/
[rosmaster.master][INFO] 2017-08-17 07:20:28,763: +SERVICE [/mavros/get_loggers] /mavros http://erle-brain-3:34806/
[rosmaster.master][INFO] 2017-08-17 07:20:28,769: +SERVICE [/raspicam_node/get_loggers] /raspicam_node http://erle-brain-3:33251/
[rosmaster.master][INFO] 2017-08-17 07:20:28,773: +SERVICE [/gcs_bridge_serial2/set_logger_level] /gcs_bridge_serial2 http://erle-brain-3:37643/
[rosmaster.master][INFO] 2017-08-17 07:20:28,778: +SERVICE [/gcs_bridge_serial/set_logger_level] /gcs_bridge_serial http://erle-brain-3:40076/
[rosmaster.master][INFO] 2017-08-17 07:20:28,782: +SERVICE [/mavros/set_logger_level] /mavros http://erle-brain-3:34806/
[rosmaster.master][INFO] 2017-08-17 07:20:28,786: +SERVICE [/raspicam_node/set_logger_level] /raspicam_node http://erle-brain-3:33251/
[rosmaster.master][INFO] 2017-08-17 07:20:28,806: +PUB [/diagnostics] /gcs_bridge_serial2 http://erle-brain-3:37643/
[rosmaster.master][INFO] 2017-08-17 07:20:28,810: +PUB [/diagnostics] /gcs_bridge_serial http://erle-brain-3:40076/
