[rosmaster.main][INFO] 2017-08-17 07:21:24,822: initialization complete, waiting for shutdown
[rosmaster.main][INFO] 2017-08-17 07:21:25,693: Starting ROS Master Node
[xmlrpc][INFO] 2017-08-17 07:21:25,698: XML-RPC server binding to 0.0.0.0:11311
[xmlrpc][INFO] 2017-08-17 07:21:25,702: Started XML-RPC server [http://erle-brain-3:11311/]
[xmlrpc][INFO] 2017-08-17 07:21:25,704: xml rpc node: starting XML-RPC server
[rosmaster.master][INFO] 2017-08-17 07:21:25,708: Master initialized: port[11311], uri[http://erle-brain-3:11311/]
[rosmaster.master][INFO] 2017-08-17 07:21:25,822: +PARAM [/run_id] by /roslaunch
[rosmaster.master][INFO] 2017-08-17 07:21:25,830: +PARAM [/roslaunch/uris/host_erle_brain_3__46719] by /roslaunch
[rosmaster.master][INFO] 2017-08-17 07:21:26,014: +PARAM [/rosversion] by /roslaunch
[rosmaster.master][INFO] 2017-08-17 07:21:26,014: +PARAM [/rosdistro] by /roslaunch
[rosmaster.master][INFO] 2017-08-17 07:21:26,060: +SERVICE [/rosout/get_loggers] /rosout http://erle-brain-3:38707/
[rosmaster.master][INFO] 2017-08-17 07:21:26,066: +SERVICE [/rosout/set_logger_level] /rosout http://erle-brain-3:38707/
[rosmaster.master][INFO] 2017-08-17 07:21:26,078: +PUB [/rosout_agg] /rosout http://erle-brain-3:38707/
[rosmaster.master][INFO] 2017-08-17 07:21:26,109: +SUB [/rosout] /rosout http://erle-brain-3:38707/
